1,glungus,dpoopoop,dpoopoop,112482571,No,https://www.youtube.com/watch?v=a9099BQ1Suk,Extreme,,,,,,,,,,,,,,,,,,
2,cabbit,dpoopoop,dpoopoop,114502561,No,https://www.youtube.com/watch?v=XjrQPgB1NKs,-,,,,,,,,,,,,,,,,,,
3,MessingWithYourBrain,dpoopoop,MrNexis,111222387,No,https://youtu.be/FPOwsm3MkjQ?si=nKm3b9rTSx_yN-xs,-,,,,,,,,,,,,,,,,,,
4,rimu,dpoopoop,tntmaster,116407082,No,https://www.youtube.com/watch?v=lCSogYALsu4,-,,,,,,,,,,,,,,,,,,
5,Sanguined Sea,qxwr4,qxwr4,109225221,Yes,https://youtu.be/irM0rRysPcA,-,,,,,,,,,,,,,,,,,,
6,Tipito Bossfight,dpoopoop,dpoopoop,115758748,No,https://www.youtube.com/watch?v=KbAZ8lzAePg,Hard,,,,,,,,,,,,,,,,,,
7,bramble scramble,dpoopoop,dpoopoop,110026775,No,https://youtu.be/7bM6cvIcjeI?si=AINnOyUcd8ber1MA,Hard,,,,,,,,,,,,,,,,,,
8,HookAround N FindOut,dpoopoop,dpoopoop,110899622,No,https://www.youtube.com/watch?v=SugvGa4fjqo,Hard,,,,,,,,,,,,,,,,,,
9,Hideki House,DeadVoxelx,DeadVoxelx,98004705,No,-,-,,,,,,,,,,,,,,,,,,
10,Peacefulswings,dpoopoop,dpoopoop,97637956,No,-,-,,,,,,,,,,,,,,,,,,
11,Gardening,dpoopoop,dpoopoop,97590027,No,https://youtu.be/aTTWZhO8O0c?si=Q-17fjSkS1TCUC8u,-,,,,,,,,,,,,,,,,,,
12,ESCAPE,wAero,Aero,108799553,No,https://www.youtube.com/watch?v=CFYAiKjI6bQ,-,,,,,,,,,,,,,,,,,,
13,hi,qxwr4,qxwr4,105909669,No,-,-,,,,,,,,,,,,,,,,,,
14,Monochrome Dungeon,RTwoSix,RTwoSix,97811373,No,https://youtu.be/YCflYugrmAI?si=WXdjLd4Upn3jcI_3,-,,,,,,,,,,,,,,,,,,
